,etablissement,filiere_agregee,zone,statut_simplifie,region
2740,Toulouse Business School - Campus de Barcelone,Ecole de Commerce,Outre-mer / Etranger,Privé,Etranger
2741,Aix-Marseille Université - Site de Marseille Saint Charles,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
2742,Université de Lille,Licence,Province,Public,Hauts-de-France
2743,Université d'Amiens,Licence_Las,Province,Public,Hauts-de-France
2744,Sorbonne Université - Médecine,PASS,Ile-de-France,Public,Ile-de-France
2745,Université de Paris,Licence,Ile-de-France,Public,Ile-de-France
2746,Université de Brest,Licence,Province,Public,Bretagne
2747,Aix-Marseille Université - Site de Marseille Timone,PASS,Province,Public,Provence Alpes Côte d'Azur
2748,Université de Lille,Licence_Las,Province,Public,Hauts-de-France
2749,Université de Rennes 2,Licence_Las,Province,Public,Bretagne
2750,Université de Strasbourg,Licence_Las,Province,Public,Grand Est
2751,ECAM Lyon,Ecole d'Ingénieur,Province,Privé,Auvergne-Rhône-Alpes
2752,UniLaSalle Rennes,Ecole d'Ingénieur,Province,Privé,Bretagne
2753,UniLaSalle Rouen,Ecole d'Ingénieur,Province,Privé,Normandie
2754,ECAM Strasbourg-Europe,Ecole d'Ingénieur,Province,Privé,Grand Est
2755,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
2756,Lycée professionnel Turquetil,Autre formation,Ile-de-France,Public,Ile-de-France
2757,INALCO,Licence_Las,Ile-de-France,Public,Ile-de-France
2758,Université Savoie Mont Blanc - Bourget-du-Lac,Licence_Las,Province,Public,Auvergne-Rhône-Alpes
2759,Institut national universitaire Champollion,Licence_Las,Province,Public,Occitanie
2760,Lycée La Borde Basse,BTS,Province,Public,Occitanie
2768,Lycée Gustave Eiffel,CPGE,Province,Public,Nouvelle-Aquitaine
2769,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
2770,Lycée Jean Mermoz,BTS,Province,Public,Occitanie
2771,I.U.T de Béziers,DUT,Province,Public,Occitanie
2772,Lycée Bréquigny,BTS,Province,Public,Bretagne
2773,Lycée Frédéric OZANAM,BTS,Province,Privé,Bretagne
2774,Lycée Marmoutier,BTS,Province,Privé,Centre-Val de Loire
2775,Lycée Tezenas du Montcel,BTS,Province,Privé,Auvergne-Rhône-Alpes
2776,"Universite Jean Monnet, Saint-Etienne",Licence,Province,Public,Auvergne-Rhône-Alpes
2777,Ecole Nationale Supérieure d'Architecture de Nantes,Autre formation,Province,Public,Pays de la Loire
2778,Lycée St Pierre La Joliverie,BTS,Province,Privé,Pays de la Loire
2779,Lycée agricole Campus de Briacé,BTS,Province,Privé,Pays de la Loire
2780,Lycée polyvalent Nicolas Appert,BTS,Province,Public,Pays de la Loire
2781,Lycée BENJAMIN FRANKLIN,Autre formation,Province,Public,Centre-Val de Loire
2782,Lycée CLEMENCEAU,CPGE,Province,Public,Grand Est
2783,Lycée Franklin Roosevelt,CPGE,Province,Public,Grand Est
2784,Lycée Fredéric OZANAM,BTS,Province,Privé,Grand Est
2785,LGT Réaumur,BTS,Province,Public,Pays de la Loire
2786,Lycée Jean Zay,BTS,Province,Public,Grand Est
2787,Université de Lorraine - Site de Nancy,Licence,Province,Public,Grand Est
2788,IFSI Reims,IFSI,Province,Public,Grand Est
2789,IFSI Chaumont,IFSI,Province,Public,Grand Est
2790,I.F.S.I. du centre hospitalier du sud Seine-et-Marne (Montereau),IFSI,Ile-de-France,Public,Ile-de-France
2791,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
2792,Université d'Orléans,Autre formation,Province,Public,Centre-Val de Loire
2793,IFSI CH Guillaume Régnier,IFSI,Province,Public,Bretagne
2794,Université d'Orléans,Licence,Province,Public,Centre-Val de Loire
2795,IRDTS Cayenne,EFTS,Outre-mer / Etranger,Privé,Guyane
2796,Université de Poitiers,Licence,Province,Public,Nouvelle-Aquitaine
2797,Institut Régional du Travail Social de Montpellier,EFTS,Province,Privé,Occitanie
2798,AGROCAMPUS OUEST Rennes,Ecole d'Ingénieur,Province,Public,Bretagne
2799,Université de Nantes,Licence,Province,Public,Pays de la Loire
2800,Lycée professionnel Martin Nadaud,BTS,Province,Public,Nouvelle-Aquitaine
2801,ENILBIO,BTS,Province,Public,Bourgogne-Franche-Comté
2802,IFSI Florence Nightingale,IFSI,Province,Privé,Nouvelle-Aquitaine
2803,IFSI Centre hospitalier Charles Perrens Bordeaux,IFSI,Province,Public,Nouvelle-Aquitaine
2804,IFSI du CH Agen-Nérac,IFSI,Province,Public,Nouvelle-Aquitaine
2805,IFSI CH Intercomm Marmande Tonneins,IFSI,Province,Public,Nouvelle-Aquitaine
2806,Université Sorbonne Nouvelle Paris 3,Licence,Ile-de-France,Public,Ile-de-France
2807,Lycée professionnel Gilles Jamain,Autre formation,Province,Public,Nouvelle-Aquitaine
2808,Lycée professionnel Julien Crozet,Autre formation,Province,Public,Bretagne
2809,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
2810,ICAM Toulouse,Ecole d'Ingénieur,Province,Privé,Occitanie
2811,Institut du Travail Social de la Croix-Rouge française - Moulins,EFTS,Province,Privé,Auvergne-Rhône-Alpes
2812,IRTESS,EFTS,Province,Privé,Bourgogne-Franche-Comté
2813,ARIFTS PAYS DE LA LOIRE - REZE,EFTS,Province,Privé,Pays de la Loire
2814,Lycée Pierre Mendes France,BTS,Province,Public,Grand Est
2815,Lycée Pierre Termier,BTS,Province,Privé,Auvergne-Rhône-Alpes
2816,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence,Ile-de-France,Public,Ile-de-France
2817,Aix-Marseille Université - Site de Marseille Saint Charles,Licence,Province,Public,Provence Alpes Côte d'Azur
2818,LPO Nelson Mandela,BTS,Outre-mer / Etranger,Public,La Réunion
2819,Lycée Du Hainaut,BTS,Province,Public,Hauts-de-France
2820,Lycée professionnel Gustave Eiffel,BTS,Province,Public,Auvergne-Rhône-Alpes
2821,Lycée Auffray,Autre formation,Ile-de-France,Public,Ile-de-France
2822,INSTITUT NATIONAL DES FORMATIONS NOTARIALES DE LYON,BTS,Province,Privé,Auvergne-Rhône-Alpes
2823,ESILV - Paris la Défense,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
2824,Institut Catholique de Rennes,Licence,Province,Privé,Bretagne
2825,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
2826,Université Grenoble Alpes - Antenne de Valence,Licence,Province,Public,Auvergne-Rhône-Alpes
2827,Lycée professionnel Des Métiers d'Art SEPR,BTS,Province,Privé,Auvergne-Rhône-Alpes
2828,Lycée polyvalent Marc BLOCH,BTS,Province,Public,Occitanie
2829,Lycée professionnel Gustave Eiffel,Autre formation,Ile-de-France,Public,Ile-de-France
2830,Lycée polyvalent du Sacré-Coeur,BTS,Province,Privé,Auvergne-Rhône-Alpes
2831,LGT Urbain MONGAZON,BTS,Province,Privé,Pays de la Loire
2832,IUT 1 GRENOBLE - ENEPS,DUT,Province,Public,Auvergne-Rhône-Alpes
2833,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
2834,Lycée JEAN BAYLET,BTS,Province,Public,Occitanie
2835,Université de La Rochelle,CPGE,Province,Public,Nouvelle-Aquitaine
2836,Université de Franche-Comté - Site de Montbéliard,Autre formation,Province,Public,Bourgogne-Franche-Comté
2837,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
2838,Lycée professionnel Patu de Rosemont,BTS,Outre-mer / Etranger,Public,La Réunion
2839,Université de Lille,Licence,Province,Public,Hauts-de-France
2840,Lycée Bourg-Chevreau Ste Anne,BTS,Province,Privé,Pays de la Loire
2841,Lycée Giraux Sannier,BTS,Province,Public,Hauts-de-France
2842,Lycée professionnel Thomas Pesquet,BTS,Province,Public,Normandie
2843,Université de Strasbourg,Licence,Province,Public,Grand Est
2844,Université de Strasbourg,Autre formation,Province,Public,Grand Est
2845,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
2846,Université de Montpellier,Licence,Province,Public,Occitanie
2847,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
2848,Université du Mans,Licence,Province,Public,Pays de la Loire
2849,Lycée Jean Mermoz,BTS,Province,Public,Occitanie
2850,Lycée polyvalent privé La Salle,BTS,Province,Privé,Hauts-de-France
2851,Lycée polyvalent privé La Salle,BTS,Province,Privé,Hauts-de-France
2852,I.U.T de Figeac,DUT,Province,Public,Occitanie
2853,Lycée professionnel Alain Savary,BTS,Province,Public,Hauts-de-France
2854,Lycée St Joseph,BTS,Province,Privé,Bretagne
2855,Lycée Catholique St Charles,BTS,Outre-mer / Etranger,Privé,La Réunion
2856,Université Lumière-Lyon 2,Licence,Province,Public,Auvergne-Rhône-Alpes
2857,Université Savoie Mont Blanc - Chambéry,Licence,Province,Public,Auvergne-Rhône-Alpes
2858,Université Bordeaux Montaigne,Licence,Province,Public,Nouvelle-Aquitaine
2859,Aix-Marseille Université - Site de Marseille Luminy,Autre formation,Province,Public,Provence Alpes Côte d'Azur
2860,Université Côte d'Azur,Licence,Province,Public,Provence Alpes Côte d'Azur
2861,Université de Paris,Autre formation,Ile-de-France,Public,Ile-de-France
2862,Lycée professionnel GUY DEBEYRE,BTS,Province,Public,Hauts-de-France
2863,Lycée professionnel Jean De La Taille,BTS,Province,Public,Centre-Val de Loire
2864,Lycée professionnel Jules Verne,Autre formation,Province,Public,Bretagne
2865,Lycée Campus de Coulommiers,BTS,Ile-de-France,Public,Ile-de-France
2866,Lycée Aristide Briand,BTS,Province,Public,Provence Alpes Côte d'Azur
2867,Lycée De La Salle,BTS,Province,Privé,Occitanie
2868,Université de Bordeaux - Bordeaux Métropole,Autre formation,Province,Public,Nouvelle-Aquitaine
2869,Lycée Rive Gauche,Autre formation,Province,Public,Occitanie
2870,Lycée Auguste Renoir,Autre formation,Ile-de-France,Public,Ile-de-France
2871,ECOLE NATIONALE SUPERIEURE A.A-MET.D'ART.,Autre formation,Ile-de-France,Public,Ile-de-France
2872,Université de Cergy-Pontoise - CY SUP,Autre formation,Ile-de-France,Public,Ile-de-France
2873,ECOLE SUPERIEURE PRIVEE CPES - CENTRE IPRESS,BTS,Province,Privé,Occitanie
2874,Lycée Rouvière,BTS,Province,Public,Provence Alpes Côte d'Azur
2875,Université de Guyane,Licence,Outre-mer / Etranger,Public,Guyane
2876,CENTRE FORMATION SAINT-HONORE,EFTS,Ile-de-France,Privé,Ile-de-France
2877,ISEP Paris,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
2879,Lycée Saint Denis,Autre formation,Province,Privé,Hauts-de-France
2880,Lycée des métiers Saint Vincent de Paul,Autre formation,Province,Privé,Hauts-de-France
2881,ESEO Angers,Ecole d'Ingénieur,Province,Privé,Pays de la Loire
2882,lycée E.P.I.D.,BTS,Province,Privé,Hauts-de-France
2883,IFSI du C.H.I.C.A.S,IFSI,Province,Public,Provence Alpes Côte d'Azur
2884,IFSI CH d'Arles,IFSI,Province,Public,Provence Alpes Côte d'Azur
2885,Lycée professionnel Corvisart-Arts Graphiques,Autre formation,Ile-de-France,Public,Ile-de-France
2886,IFSI CH Nord Mayenne,IFSI,Province,Public,Pays de la Loire
2887,Institut de travail social et de recherches sociales,EFTS,Ile-de-France,Privé,Ile-de-France
2888,IFSI Croix Rouge Française Moulins,IFSI,Province,Privé,Auvergne-Rhône-Alpes
2889,Lycée LES CHASSAGNES,BTS,Province,Privé,Auvergne-Rhône-Alpes
2890,IFSI CHU Montpellier,IFSI,Province,Public,Occitanie
2891,Association 3iS SUP,Autre formation,Ile-de-France,Privé,Ile-de-France
2892,"Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS)",Autre formation,Province,Public,Nouvelle-Aquitaine
2893,Université Côte d'Azur,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
2894,Université de Caen Normandie,Licence_Las,Province,Public,Normandie
2895,Université de Tours,Licence_Las,Province,Public,Centre-Val de Loire
2896,Unité de formation et de recherche des sciences de la santé de l'université de Besançon,Autre formation,Province,Public,Bourgogne-Franche-Comté
2897,Université Côte d'Azur - UFR de Médecine,Autre formation,Province,Public,Provence Alpes Côte d'Azur
2898,Université de la Réunion - Le Tampon,Licence_Las,Outre-mer / Etranger,Public,La Réunion
2899,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
2900,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
2901,Aix-Marseille Université - Site de Marseille Timone,PASS,Province,Public,Provence Alpes Côte d'Azur
2902,Université de Poitiers,Licence_Las,Province,Public,Nouvelle-Aquitaine
2903,Université Sorbonne Nouvelle Paris 3,Licence,Ile-de-France,Public,Ile-de-France
2904,Université d'Amiens,Licence_Las,Province,Public,Hauts-de-France
2905,Ecole Universitaire de premier cycle - Campus d'Orsay Université de Paris-Saclay (Orsay),PASS,Ile-de-France,Public,Ile-de-France
2906,"Université de Montpellier, Antenne de Nîmes",PASS,Province,Public,Occitanie
2907,Université de Lille,PASS,Province,Public,Hauts-de-France
2908,Lycée professionnel Louis Bleriot,BTS,Ile-de-France,Public,Ile-de-France
2909,Yschools - École Supérieure de Tourisme de Troyes,Ecole de Commerce,Province,Privé,Grand Est
2910,Lycée Les Perseverants,BTS,Outre-mer / Etranger,Privé,Guadeloupe
2911,I.U.T. de Schiltigheim - Site de Sélestat,DUT,Province,Public,Grand Est
2912,Lycée professionnel Charles De Bovelles,BTS,Province,Public,Hauts-de-France
2913,Facultés libres de l'ouest UCO - Niort,Autre formation,Province,Privé,Nouvelle-Aquitaine
2914,IDELCA Business School,BTS,Province,Privé,Occitanie
2917,UTT Université de Technologie de Troyes,Ecole d'Ingénieur,Province,Public,Grand Est
2918,Campus de Bourg-en-Bresse - Université Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
2919,Université Grenoble Alpes,Licence_Las,Province,Public,Auvergne-Rhône-Alpes
2920,Université Grenoble Alpes,Licence,Province,Public,Auvergne-Rhône-Alpes
2921,Lycée Honore D'Urfe,BTS,Province,Public,Auvergne-Rhône-Alpes
2922,Lycée La Salle,CPGE,Province,Privé,Auvergne-Rhône-Alpes
2923,I.U.T de Roanne,DUT,Province,Public,Auvergne-Rhône-Alpes
2924,Lycée général Gabriel Guist'Hau,CPGE,Province,Public,Pays de la Loire
2925,Lycée Saint Francois De Sales,BTS,Province,Privé,Centre-Val de Loire
2926,Lycée Sainte-Croix Saint-Euverte,BTS,Province,Privé,Centre-Val de Loire
2927,Lycée Maurice Genevoix,BTS,Province,Public,Centre-Val de Loire
2928,Lycée polyvalent Notre-Dame,BTS,Province,Privé,Occitanie
2929,Facultés libres de l'ouest UCO - Angers,Licence,Province,Privé,Pays de la Loire
2930,Lycée Claude Lehec,BTS,Province,Public,Normandie
2931,Lycée Franklin Roosevelt,BTS,Province,Public,Grand Est
2932,LGT Réaumur,BTS,Province,Public,Pays de la Loire
2933,I.U.T. H. Poincaré de Longwy - Université de Lorraine,DUT,Province,Public,Grand Est
2934,I.U.T de Lorient,DUT,Province,Public,Bretagne
2935,Lycée Fenelon,BTS,Province,Public,Hauts-de-France
2936,Lycée De L'Europe,CPGE,Province,Public,Hauts-de-France
2937,Lycée Dampierre,BTS,Province,Privé,Hauts-de-France
2938,Université de Lille,Licence,Province,Public,Hauts-de-France
2939,lycée E.P.I.D.,BTS,Province,Privé,Hauts-de-France
2940,Lycée Jean Prouve,BTS,Province,Public,Hauts-de-France
2941,Université du littoral - Site de Dunkerque,Licence,Province,Public,Hauts-de-France
2942,Lycée Marie Curie,BTS,Province,Public,Hauts-de-France
2943,Lycée Jules Uhry,BTS,Province,Public,Hauts-de-France
2944,Lycée Les Andaines,BTS,Province,Public,Normandie
2945,Lycée agricole Auguste Loutreuil,BTS,Province,Public,Normandie
2946,GAMBETTA CARNOT,BTS,Province,Public,Hauts-de-France
2947,Lycée Edouard Branly,BTS,Province,Public,Hauts-de-France
2948,Lycée Auguste Behal,BTS,Province,Public,Hauts-de-France
2949,Lycée Baudimont Saint-Charles,BTS,Province,Privé,Hauts-de-France
2950,Lycée Baudimont Saint-Charles,BTS,Province,Privé,Hauts-de-France
2951,Lycée Blaise Pascal,BTS,Province,Public,Hauts-de-France
2952,Lycée St-Joseph,BTS,Province,Privé,Hauts-de-France
2953,Lycée Marguerite Yourcenar,BTS,Province,Public,Hauts-de-France
2954,I.U.T. de Lens,DUT,Province,Public,Hauts-de-France
2955,Lycée Léonard de Vinci,BTS,Province,Public,Hauts-de-France
2956,Lycée Blaise Pascal,CPGE,Province,Public,Auvergne-Rhône-Alpes
2957,Lycée professionnel Marie Curie,BTS,Province,Public,Auvergne-Rhône-Alpes
2958,I.U.T. de Clermont-Ferrand,DUT,Province,Public,Auvergne-Rhône-Alpes
2959,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
2960,Lycée Louis De Foix,BTS,Province,Public,Nouvelle-Aquitaine
2961,Lycée Louis De Foix,BTS,Province,Public,Nouvelle-Aquitaine
2962,Lycée Louis De Foix,BTS,Province,Public,Nouvelle-Aquitaine
2963,Lycée Saint-Cricq,BTS,Province,Public,Nouvelle-Aquitaine
2964,Université de Pau et des Pays de l'Adour,Licence,Province,Public,Nouvelle-Aquitaine
2965,EISTI Pau,Ecole d'Ingénieur,Province,Privé,Nouvelle-Aquitaine
2966,I.U.T de Perpignan,DUT,Province,Public,Occitanie
2967,Lycée Jean Monnet,BTS,Province,Public,Grand Est
2968,Lycée Louis Couffignal,BTS,Province,Public,Grand Est
2969,Lycée Louis Couffignal,BTS,Province,Public,Grand Est
2970,Université de Strasbourg,Licence,Province,Public,Grand Est
2971,Université de Strasbourg,Licence,Province,Public,Grand Est
2972,Lycée Albert Schweitzer,BTS,Province,Public,Grand Est
2973,Lycée Colbert,BTS,Province,Public,Auvergne-Rhône-Alpes
2974,Lycée Marcel Sembat,BTS,Province,Public,Auvergne-Rhône-Alpes
2975,Ecole Nationale Supérieure d'Architecture de Lyon,Autre formation,Province,Public,Auvergne-Rhône-Alpes
2976,Institut Catholique de Lyon,Licence,Province,Privé,Auvergne-Rhône-Alpes
2977,Lycée Assomption Bellevue,BTS,Province,Privé,Auvergne-Rhône-Alpes
2978,Ecole LA MACHE,BTS,Province,Privé,Auvergne-Rhône-Alpes
2979,Université Jean Moulin Lyon 3,Licence,Province,Public,Auvergne-Rhône-Alpes
2981,Lycée La Martiniere Monplaisir,CPGE,Province,Public,Auvergne-Rhône-Alpes
2982,Université Toulouse 1 - Antenne de Montauban,Licence,Province,Public,Occitanie
2983,Lycée de Lorgues - Thomas Edison,BTS,Province,Public,Provence Alpes Côte d'Azur
2984,Lycée Beaussier,BTS,Province,Public,Provence Alpes Côte d'Azur
2985,Lycée Dumont d'Urville,BTS,Province,Public,Provence Alpes Côte d'Azur
2986,Lycée Notre Dame,BTS,Province,Privé,Provence Alpes Côte d'Azur
2987,I.U.T de Toulon,DUT,Province,Public,Provence Alpes Côte d'Azur
2988,Lycée Theodore Aubanel,BTS,Province,Public,Provence Alpes Côte d'Azur
2989,Lycée Jean Henri Fabre,BTS,Province,Public,Provence Alpes Côte d'Azur
2990,Lycée de l'Arc,BTS,Province,Public,Provence Alpes Côte d'Azur
2991,LGT PRIVE SAINT-FRANCOIS D'ASSISE,CPGE,Province,Privé,Pays de la Loire
2992,ICES - Institut Catholique de Vendée,Licence,Province,Privé,Pays de la Loire
2993,I.U.T. Poitiers,DUT,Province,Public,Nouvelle-Aquitaine
2994,Lycée Gay-Lussac,CPGE,Province,Public,Nouvelle-Aquitaine
2995,I.U.T du Limousin - site de Limoges,DUT,Province,Public,Nouvelle-Aquitaine
2996,Lycée Louis Davier,BTS,Province,Public,Bourgogne-Franche-Comté
2997,I.U.T de Dijon - Antenne d'Auxerre,DUT,Province,Public,Bourgogne-Franche-Comté
2998,I.U.T de Belfort-Montbéliard,DUT,Province,Public,Bourgogne-Franche-Comté
2999,I.U.T de Belfort-Montbéliard,DUT,Province,Public,Bourgogne-Franche-Comté
3000,Lycée Jean Baptiste Corot,BTS,Ile-de-France,Public,Ile-de-France
3001,Lycée des métiers Saint Pierre,BTS,Ile-de-France,Privé,Ile-de-France
3002,I.U.T. d'Evry Val d'Essonne,DUT,Ile-de-France,Public,Ile-de-France
3003,Lycée Descartes,BTS,Ile-de-France,Public,Ile-de-France
3004,Lycée Jacques Prevert,BTS,Ile-de-France,Public,Ile-de-France
3005,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
3006,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
3007,Ecole Universitaire de Premier Cycle - Université Paris Saclay - IUT de Sceaux,DUT,Ile-de-France,Public,Ile-de-France
3008,Lycée Montalembert,BTS,Ile-de-France,Privé,Ile-de-France
3009,Lycée Auffray,BTS,Ile-de-France,Public,Ile-de-France
3010,Lycée Jean Jaurès,BTS,Ile-de-France,Public,Ile-de-France
3011,Lycée Olympe De Gouges,BTS,Ile-de-France,Public,Ile-de-France
3012,Lycée Clemenceau,BTS,Ile-de-France,Public,Ile-de-France
3013,I.U.T de Villetaneuse - Université Sorbonne Paris Nord,DUT,Ile-de-France,Public,Ile-de-France
3014,Université Paris 13,Licence,Ile-de-France,Public,Ile-de-France
3015,Lycée GUSTAVE EIFFEL,BTS,Ile-de-France,Public,Ile-de-France
3016,Lycée des Métiers de l'horticulture et du paysage,BTS,Ile-de-France,Public,Ile-de-France
3017,Lycée Suger,BTS,Ile-de-France,Public,Ile-de-France
3018,Lycée Guillaume Apollinaire,BTS,Ile-de-France,Public,Ile-de-France
3019,Lycée polyvalent de Cachan,BTS,Ile-de-France,Public,Ile-de-France
3020,Lycée polyvalent de Cachan,BTS,Ile-de-France,Public,Ile-de-France
3021,Lycée Pablo Picasso,BTS,Ile-de-France,Public,Ile-de-France
3022,Lycée Champlain,BTS,Ile-de-France,Public,Ile-de-France
3023,Lycée Jean Jaures,BTS,Ile-de-France,Public,Ile-de-France
3024,Lycée Van Gogh,BTS,Ile-de-France,Public,Ile-de-France
3025,Lycée Camille Pissarro,BTS,Ile-de-France,Public,Ile-de-France
3026,Lycée Jean-Jacques Rousseau,CPGE,Ile-de-France,Public,Ile-de-France
3027,Lycée Jean Perrin,BTS,Ile-de-France,Public,Ile-de-France
3028,Lycée Charles BAUDELAIRE,BTS,Ile-de-France,Public,Ile-de-France
3029,Lycée Henri Moissan - Meaux,CPGE,Ile-de-France,Public,Ile-de-France
3030,Lycée Baimbridge,CPGE,Outre-mer / Etranger,Public,Guadeloupe
3031,Université des Antilles - Pôle Guadeloupe,Licence,Outre-mer / Etranger,Public,Guadeloupe
3032,Lycée Joseph Gaillard,BTS,Outre-mer / Etranger,Public,Martinique
3033,Lycée professionnel Lumina Sophie,BTS,Outre-mer / Etranger,Public,Martinique
3034,Lycée Montgérald,BTS,Outre-mer / Etranger,Public,Martinique
3035,Lycée Leon-Gontran Damas,BTS,Outre-mer / Etranger,Public,Guyane
3036,Université de La Réunion - Saint Denis,Licence,Outre-mer / Etranger,Public,La Réunion
3037,Lycée Bellepierre,Autre formation,Outre-mer / Etranger,Public,La Réunion
3038,AGROCAMPUS OUEST Rennes,Ecole d'Ingénieur,Province,Public,Bretagne
3039,Université Toulouse 2 Jean Jaurès,Licence,Province,Public,Occitanie
3040,Université de La Réunion - Saint Denis,Autre formation,Outre-mer / Etranger,Public,La Réunion
3041,Lycée Polyvalent La Chartreuse,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
3042,Lycée Nicéphore Niepce,BTS,Province,Public,Bourgogne-Franche-Comté
3043,EFREI Paris,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
3044,ISEN Méditerranée (Campus Nîmes) CPGE associée YNCREA (ISEN-HEI-ISA) Saint Joseph Pierre Rouge,Ecole d'Ingénieur,Province,Privé,Occitanie
3045,Ecole de formation sanitaire et sociale IFTS,Autre formation,Province,Privé,Auvergne-Rhône-Alpes
3046,Institut de formation en ergothérapie la Musse,Autre formation,Province,Privé,Normandie
3047,Ecole de management de Normandie - Campus de Paris,Ecole de Commerce,Ile-de-France,Privé,Ile-de-France
3048,NEOMA Business School - Campus de Reims,Ecole de Commerce,Province,Privé,Grand Est
3049,KEDGE BUSINESS SCHOOL - Site de Toulon-La Garde,Ecole de Commerce,Province,Privé,Provence Alpes Côte d'Azur
3050,Université de Lille,Licence,Province,Public,Hauts-de-France
3051,EDHEC Nice,Ecole de Commerce,Province,Privé,Provence Alpes Côte d'Azur
3052,INSEEC Lyon,Ecole de Commerce,Province,Privé,Auvergne-Rhône-Alpes
3053,Université de La Réunion - Saint Denis,Licence,Outre-mer / Etranger,Public,La Réunion
3054,Université de La Réunion - Saint Denis,Licence,Outre-mer / Etranger,Public,La Réunion
3055,AFREP - Institut de formation en pédicure-podologie,Autre formation,Ile-de-France,Privé,Ile-de-France
3056,Université de Limoges,Licence_Las,Province,Public,Nouvelle-Aquitaine
3057,Université de La Réunion - Saint Denis,Licence,Outre-mer / Etranger,Public,La Réunion
3058,Université de Bretagne Sud - Site de Lorient,Licence_Las,Province,Public,Bretagne
3061,Université de Bretagne Sud - Site de Vannes,Licence_Las,Province,Public,Bretagne
3062,"Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Antibes (CREPS)",Autre formation,Province,Public,Provence Alpes Côte d'Azur
3063,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence,Ile-de-France,Public,Ile-de-France
3064,Université de Rouen Normandie - Campus Mont-Saint-Aignan,Licence_Las,Province,Public,Normandie
3065,Université de Lorraine - Site de Metz,Licence_Las,Province,Public,Grand Est
3066,Université de Nantes,Licence_Las,Province,Public,Pays de la Loire
3068,Lycée CAUCADIS,BTS,Province,Privé,Provence Alpes Côte d'Azur
3069,Université de Versailles - Saint Quentin en Yvelines,Licence_Las,Ile-de-France,Public,Ile-de-France
3070,Campus des Comtes de champagne - URCA,Licence_Las,Province,Public,Grand Est
3071,Université Côte d'Azur,PASS,Province,Public,Provence Alpes Côte d'Azur
3072,Université de Franche-Comté - Site de Besançon,PASS,Province,Public,Bourgogne-Franche-Comté
3073,Université Clermont Auvergne,Licence,Province,Public,Auvergne-Rhône-Alpes
3074,Université de Brest,PASS,Province,Public,Bretagne
3075,Université de Bourgogne - site de Dijon,Licence_Las,Province,Public,Bourgogne-Franche-Comté
3076,Université de Brest,Licence_Las,Province,Public,Bretagne
3077,Université du littoral - Site de Calais,Licence_Las,Province,Public,Hauts-de-France
3078,Université de Paris,Licence_Las,Ile-de-France,Public,Ile-de-France
3079,Lycée Felix Le Dantec,BTS,Province,Public,Bretagne
3080,IFSI du CH de Roanne,IFSI,Province,Public,Auvergne-Rhône-Alpes
3081,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
3082,Lycée Bonaparte,BTS,Province,Public,Bourgogne-Franche-Comté
3083,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence_Las,Ile-de-France,Public,Ile-de-France
3084,Lycée professionnel Denis Diderot,BTS,Province,Public,Bourgogne-Franche-Comté
3085,Lycée professionnel Paul Valéry,BTS,Province,Public,Provence Alpes Côte d'Azur
3086,Université Paris 8,Licence_Las,Ile-de-France,Public,Ile-de-France
3087,Ecole de management de Normandie - Campus d'Oxford,Ecole de Commerce,Outre-mer / Etranger,Privé,Etranger
3088,Aix-Marseille Université - Site de Marseille Espace Canebière,Licence_Las,Province,Public,Provence Alpes Côte d'Azur
3089,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
