,etablissement,filiere_agregee,zone,statut_simplifie,region
7830,Lycée Henri Bergson-Jacquard,BTS,Ile-de-France,Public,Ile-de-France
7831,Lycée Henri Bergson-Jacquard,BTS,Ile-de-France,Public,Ile-de-France
7832,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
7833,Université Paris 1 Panthéon Sorbonne,Licence,Ile-de-France,Public,Ile-de-France
7834,Université de Paris,Licence,Ile-de-France,Public,Ile-de-France
7835,Institut Catholique Paris,Licence,Ile-de-France,Privé,Ile-de-France
7836,Lycée L'Initiative,BTS,Ile-de-France,Privé,Ile-de-France
7837,Lycée Albert de Mun,BTS,Ile-de-France,Privé,Ile-de-France
7838,I.U.T de Paris Descartes,DUT,Ile-de-France,Public,Ile-de-France
7839,I.U.T Paris 7,DUT,Ile-de-France,Public,Ile-de-France
7840,Lycée Ferdinand Buisson,BTS,Province,Public,Normandie
7841,Lycée François 1er,CPGE,Province,Public,Normandie
7842,Lycée Pierre Corneille,CPGE,Province,Public,Normandie
7843,Lycée Marcel Sembat,BTS,Province,Public,Normandie
7844,Lycée Claude Monet,BTS,Province,Public,Normandie
7845,Lycée Les Tourelles,BTS,Province,Privé,Normandie
7846,Lycée polyvalent privé Saint Vincent de Paul,BTS,Province,Privé,Normandie
7847,Lycée Providence Sainte-Thérèse,BTS,Province,Privé,Normandie
7848,Lycée Val De Seine,BTS,Province,Public,Normandie
7849,Université de Rouen Normandie - Campus Madrillet Saint-Etienne-du-Rouvray,Licence,Province,Public,Normandie
7850,Lycée professionnel Agricole Saint Joseph,BTS,Province,Privé,Normandie
7851,Lycée Raymond Queneau,BTS,Province,Public,Normandie
7852,Lycée Charles Le Chauve,BTS,Ile-de-France,Public,Ile-de-France
7853,Lycée Simone Signoret,BTS,Ile-de-France,Public,Ile-de-France
7854,Lycée Descartes,CPGE,Ile-de-France,Public,Ile-de-France
7855,Lycée Jean-Baptiste Poquelin,Autre formation,Ile-de-France,Public,Ile-de-France
7856,Lycée La Bruyère,CPGE,Ile-de-France,Public,Ile-de-France
7857,I.U.T. Poitiers (site Niort),DUT,Province,Public,Nouvelle-Aquitaine
7858,Lycée Sainte Famille,BTS,Province,Privé,Hauts-de-France
7859,Université d'Amiens,Licence,Province,Public,Hauts-de-France
7860,Lycée Saint Remi,Autre formation,Province,Privé,Hauts-de-France
7861,Lycée La Providence,BTS,Province,Privé,Hauts-de-France
7862,Lycée La Hotoie,BTS,Province,Public,Hauts-de-France
7863,Lycée Jean Aicard,BTS,Province,Public,Provence Alpes Côte d'Azur
7864,Lycée agricole de Hyères,BTS,Province,Public,Provence Alpes Côte d'Azur
7865,Lycée Theodore Aubanel,BTS,Province,Public,Provence Alpes Côte d'Azur
7866,Lycée agricole François Pétrarque,BTS,Province,Public,Provence Alpes Côte d'Azur
7867,Lycée ATLANTIQUE,BTS,Province,Public,Pays de la Loire
7868,Lycée professionnel Edouard Branly,BTS,Province,Public,Pays de la Loire
7869,LGT PRIVE SAINT-FRANCOIS D'ASSISE,BTS,Province,Privé,Pays de la Loire
7870,Lycée agricole Les Etablières,BTS,Province,Privé,Pays de la Loire
7871,Cite Technique Edouard Branly,BTS,Province,Public,Nouvelle-Aquitaine
7872,Ensemble scolaire Isaac de l'Etoile - Le Porteau,BTS,Province,Privé,Nouvelle-Aquitaine
7873,I.U.T. d'Evry Val d'Essonne - Site Brétigny S/Orge,DUT,Ile-de-France,Public,Ile-de-France
7874,Lycée Newton-Enrea,BTS,Ile-de-France,Public,Ile-de-France
7875,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
7876,Université Paris Nanterre,Licence,Ile-de-France,Public,Ile-de-France
7877,I.U.T de Saint-Denis - Université Paris 13,DUT,Ile-de-France,Public,Ile-de-France
7878,Université Paris 8,Licence,Ile-de-France,Public,Ile-de-France
7879,Lycée Louis Armand,BTS,Ile-de-France,Public,Ile-de-France
7880,Lycée Paul Doumer,BTS,Ile-de-France,Public,Ile-de-France
7881,Lycée Guillaume Budé,BTS,Ile-de-France,Public,Ile-de-France
7882,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Licence,Ile-de-France,Public,Ile-de-France
7883,Lycée Galilée,BTS,Ile-de-France,Public,Ile-de-France
7884,Lycée des métiers de l'Hôtellerie et du Tourisme Archipel Guadeloupe,BTS,Outre-mer / Etranger,Public,Guadeloupe
7885,Lycée Nord Grande Terre,BTS,Outre-mer / Etranger,Public,Guadeloupe
7886,Lycée Frantz Fanon,BTS,Outre-mer / Etranger,Public,Martinique
7887,Lycée Joseph Zobel,BTS,Outre-mer / Etranger,Public,Martinique
7888,Lycée Roland Garros,BTS,Outre-mer / Etranger,Public,La Réunion
7889,Lycée Ambroise Vollard,BTS,Outre-mer / Etranger,Public,La Réunion
7890,Lycée Lislet-Geoffroy,BTS,Outre-mer / Etranger,Public,La Réunion
7891,Université de La Réunion - Saint Denis,Licence,Outre-mer / Etranger,Public,La Réunion
7892,I.U.T de la Réunion,DUT,Outre-mer / Etranger,Public,La Réunion
7893,Lycée Catholique St Charles,BTS,Outre-mer / Etranger,Privé,La Réunion
7894,Lycée de St Paul 4,BTS,Outre-mer / Etranger,Public,La Réunion
7895,Lycée des Métiers -Hotelier de Tahiti,Autre formation,Outre-mer / Etranger,Public,Polynésie française
7896,Lycée de Taiarapu Nui,BTS,Outre-mer / Etranger,Public,Polynésie française
7897,EGC Martinique,Ecole de Commerce,Outre-mer / Etranger,Privé,Martinique
7898,EGC Rodez,Ecole de Commerce,Province,Privé,Occitanie
7899,Université de Bretagne Sud - Site de Lorient,Licence,Province,Public,Bretagne
7900,I.R.T.S. NOUVELLE - AQUITAINE,EFTS,Province,Privé,Nouvelle-Aquitaine
7901,ERTS,EFTS,Province,Privé,Centre-Val de Loire
7902,INSTIT. REG. DU TRAVAIL SOCIAL,EFTS,Province,Privé,Grand Est
7903,Lycée Professionnel Agricole d'Horticulture et du Paysage La Mouillère,BTS,Province,Privé,Centre-Val de Loire
7904,Lycée professionnel Lumina Sophie,BTS,Outre-mer / Etranger,Public,Martinique
7905,Lycée Leonard De Vinci,Autre formation,Ile-de-France,Public,Ile-de-France
7906,ISEL Le Havre,Ecole d'Ingénieur,Province,Public,Normandie
7907,CUFR Centre Universitaire de Mayotte,Licence,Outre-mer / Etranger,Public,Mayotte
7908,Université de Lorraine - Site de Metz,Licence,Province,Public,Grand Est
7909,Institut Catholique de Lille-Institut universitaire Santé Social,Licence,Province,Privé,Hauts-de-France
7910,EPITA Paris,Ecole d'Ingénieur,Ile-de-France,Privé,Ile-de-France
7911,Lycée Industriel et Commercial,BTS,Province,Privé,Hauts-de-France
7912,Lycée professionnel Aristide Briand,Autre formation,Ile-de-France,Public,Ile-de-France
7913,Université de Perpignan Via Domitia,Licence,Province,Public,Occitanie
7914,OMNIS - Ecole supérieure de commerce & management,BTS,Province,Privé,Grand Est
7915,I.U.T du Limousin - Site de Guéret,DUT,Province,Public,Nouvelle-Aquitaine
7916,Lycée d'Enseignement Général et Technologique Agricole de MACOURIA,BTS,Outre-mer / Etranger,Public,Guyane
7917,Université Toulouse 2 Jean Jaurès,Licence,Province,Public,Occitanie
7918,Lycée Marie Madeleine Fourcade,BTS,Province,Public,Provence Alpes Côte d'Azur
7919,Université de Lille,Licence,Province,Public,Hauts-de-France
7920,Université Toulouse 1 Capitole,Autre formation,Province,Public,Occitanie
7921,"Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales",Licence,Ile-de-France,Public,Ile-de-France
7922,LGT PRIVE SAINT-FRANCOIS D'ASSISE,BTS,Province,Privé,Pays de la Loire
7923,Facultés libres de l'ouest - UCO - Nantes,Licence,Province,Privé,Pays de la Loire
7924,Lycée Marie De Champagne,BTS,Province,Public,Grand Est
7925,Lycée La Croix Rouge,BTS,Province,Privé,Bretagne
7926,Lycée professionnel LE ROCHER,BTS,Province,Privé,Provence Alpes Côte d'Azur
7927,Université Savoie Mont Blanc - Chambéry,Licence,Province,Public,Auvergne-Rhône-Alpes
