,statut_etab,etablissement,region,selectivite,filiere_agregee,capacite,ran_grp1,acc_tot,pct_bours,pct_f,pct_brs,pct_ab,pct_b,pct_tb,selectivite_bin,statut_simplifie,zone,capacite_log,ran_grp1_log,taux_remplissage,taux_remplissage_clipped
1363,Public,Lycée Léonard De Vinci,Provence Alpes Côte d'Azur,formation selective,Autre formation,15.0,69.0,14,28.57,100.0,14.285714285714286,14.285714285714286,35.714285714285715,0.0,1,Public,Province,2.772588722239781,4.248495242049359,0.9333333333333333,0.9333333333333333
1364,Public,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),Ile-de-France,formation non selec,Licence,290.0,1357.0,288,30.46,67.36,20.833333333333332,17.708333333333332,5.208333333333333,0.3472222222222222,0,Public,Ile-de-France,5.673323267171493,7.213768308118642,0.993103448275862,0.993103448275862
1365,Public,Lycée Tani Malandi de Chirongui,Mayotte,formation selective,Autre formation,15.0,52.0,15,63.64,73.33,46.666666666666664,6.666666666666667,0.0,0.0,1,Public,Outre-mer / Etranger,2.772588722239781,3.970291913552122,1.0,1.0
1366,Public,Université Paris Nanterre,Ile-de-France,formation selective,Licence,10.0,49.0,10,12.5,90.0,10.0,30.0,10.0,0.0,1,Public,Ile-de-France,2.3978952727983707,3.912023005428146,1.0,1.0
1367,Public,Lycée professionnel Les Grippeaux,Nouvelle-Aquitaine,formation selective,Autre formation,12.0,17.0,5,0.0,0.0,0.0,40.0,0.0,0.0,1,Public,Province,2.5649493574615367,2.8903717578961645,0.4166666666666667,0.4166666666666667
1368,Public,Université Paris 13,Ile-de-France,formation non selec,Licence,25.0,102.0,23,22.22,39.13,8.695652173913043,17.391304347826086,4.3478260869565215,0.0,0,Public,Ile-de-France,3.258096538021482,4.634728988229636,0.92,0.92
1369,Public,Université de Lille,Hauts-de-France,formation selective,Licence,15.0,101.0,20,17.65,90.0,15.0,0.0,35.0,50.0,1,Public,Province,2.772588722239781,4.624972813284271,1.3333333333333333,1.2229400921658957
1370,Privé sous contrat d'association,Ecole Santé Social Sud-Est,Auvergne-Rhône-Alpes,formation selective,EFTS,30.0,50.0,30,0.0,93.33,0.0,3.3333333333333335,6.666666666666667,6.666666666666667,1,Privé,Province,3.4339872044851463,3.9318256327243257,1.0,1.0
1371,Privé sous contrat d'association,I.R.T.S. NOUVELLE - AQUITAINE,Nouvelle-Aquitaine,formation selective,EFTS,6.0,12.0,6,0.0,100.0,0.0,16.666666666666668,0.0,0.0,1,Privé,Province,1.9459101490553132,2.5649493574615367,1.0,1.0
1372,Privé sous contrat d'association,ARIFTS PAYS DE LA LOIRE - REZE,Pays de la Loire,formation selective,EFTS,10.0,33.0,9,0.0,100.0,0.0,11.11111111111111,11.11111111111111,22.22222222222222,1,Privé,Province,2.3978952727983707,3.5263605246161616,0.9,0.9
1373,Privé sous contrat d'association,INSTIT. REG. DU TRAVAIL SOCIAL,Grand Est,formation selective,EFTS,34.0,45.0,33,31.25,90.91,15.151515151515152,15.151515151515152,9.090909090909092,3.0303030303030303,1,Privé,Province,3.5553480614894135,3.828641396489095,0.9705882352941176,0.9705882352941176
1374,Privé sous contrat d'association,INSTIT.REGIONAL TRAVAIL SOCIAL IRTS DE LORRAINE - Le Ban Saint Martin,Grand Est,formation selective,EFTS,14.0,17.0,14,18.18,78.57,14.285714285714286,28.571428571428573,35.714285714285715,7.142857142857143,1,Privé,Province,2.70805020110221,2.8903717578961645,1.0,1.0
1375,Privé sous contrat d'association,POLARIS Formation Isle,Nouvelle-Aquitaine,formation selective,EFTS,40.0,67.0,40,11.11,82.5,2.5,5.0,10.0,7.5,1,Privé,Province,3.713572066704308,4.219507705176107,1.0,1.0
