,capacite_log_scaled,ran_grp1_log_scaled,taux_remplissage_clipped_scaled,pct_bours_scaled,pct_f_scaled,pct_ab_scaled,pct_b_scaled,pct_tb_scaled,selectivite_bin,statut_Public,zone_Outre-mer / Etranger,zone_Province,filiere_BTS,filiere_CPGE,filiere_DUT,filiere_EFTS,filiere_Ecole d'Ingénieur,filiere_Ecole de Commerce,filiere_IFSI,filiere_Licence,filiere_Licence_Las,filiere_PASS
60,0.2960231092220491,0.2248997126679746,0.10249828976686265,-1.365026114633233,0.4424500240418906,0.9725523667178947,0.571519873605492,0.08629751757876256,1,False,False,True,False,False,False,False,False,False,False,False,False,False
61,-0.8067095104476314,-1.2695971613195833,0.25224940005536317,0.2649648478137057,-0.3170705077012408,1.3819128396043463,0.3169295196318599,-0.5618558098774069,1,True,False,True,True,False,False,False,False,False,False,False,False,False
62,3.5482296945518716,2.0018523843431746,0.5045800208914863,-0.4458068926243724,0.670035650873203,-0.7684696872475034,0.9722783879311265,1.782938976763525,0,True,False,True,False,False,False,False,False,False,False,False,False,True
63,-0.4872705942023184,-0.3572087918070064,-0.1221283756658878,-0.37575487012927333,0.5449142809956613,2.0531623106728127,-0.9594860645760778,-0.5618558098774069,1,False,False,False,True,False,False,False,False,False,False,False,False,False
64,-0.06283341368093048,1.4477553886738512,0.5517516206323642,0.8948635216314257,0.8025966697704905,0.15128880931215766,-0.5060727674992284,-0.2359272794994474,0,True,False,True,False,False,False,False,False,False,False,False,True,False
69,0.8810728929096644,1.4518808045599583,0.4843636210025392,-0.587619523529085,1.4153532163059106,-0.4866814158278089,0.3523788094256567,-0.27305837789693643,1,False,False,True,False,False,False,False,False,False,True,False,False,False
70,0.08854578700797544,-0.5489716870247848,-2.4133203630799445,-0.09099055104350486,0.5449142809956613,-1.3807759556728145,0.22802495157757552,-0.5618558098774069,0,True,True,False,False,False,False,False,False,False,False,True,False,False
71,-1.2484277249744669,-0.9822519309520226,0.10249828976686265,-0.09099055104350486,-1.4022447669905145,-0.5403015548189896,-1.283352705345256,-0.5618558098774069,1,True,False,True,False,False,False,False,False,False,False,False,False,False
72,1.1720000086672366,2.356099922835729,0.5517516206323642,-0.5095941000995846,0.9825009097025231,-0.6519296111654005,0.037268548276635546,-0.17422236355410559,1,True,False,True,False,False,False,False,False,False,True,False,False,False
73,-0.4872705942023184,-0.7656118089884038,-0.5713817065313893,0.49505441763500657,-0.9977983930079742,0.7018311386534,-0.9253948392319539,-0.5618558098774069,1,True,False,True,True,False,False,False,False,False,False,False,False,False
74,0.45145093902249733,0.07924903955956651,0.5517516206323642,0.25699144687930414,-0.11112749620009775,0.18586832751871485,-0.7887200176250566,-0.2507422126984456,1,True,False,True,False,False,True,False,False,False,False,False,False,False
75,1.7508152852374328,1.3712544300004663,0.29805562202596314,-0.9059860322669742,0.8161233043518461,0.6326271645947924,0.10207681350067292,-0.1393558630911631,0,False,False,True,False,False,False,False,False,False,False,True,False,False
76,-0.06283341368093048,-0.4516005159152049,0.24369219375316317,-0.9635084247222994,-0.27513794049903756,0.4682677262056002,0.7776168268222418,-0.5618558098774069,1,False,False,True,True,False,False,False,False,False,False,False,False,False
77,-0.7470051572369216,-1.7158850668037235,-3.4205936207047,-0.09099055104350486,0.9956893784193451,0.9120382098564195,-1.283352705345256,-0.5618558098774069,1,True,False,True,True,False,False,False,False,False,False,False,False,False
78,-1.1621675500719726,-1.1589501106329547,1.3811423853071352,-1.5148121464723472,0.3193576493515523,-0.4192732410960389,1.4371270771158409,0.9591439985530708,1,True,False,True,False,False,False,False,False,False,False,False,False,False
79,-0.23688531593853135,-1.2305635530902774,0.5517516206323642,-0.028911929482807346,1.3338552429532415,-0.8630437247468583,0.9837137800389916,0.38876907039164177,1,True,False,True,True,False,False,False,False,False,False,False,False,False
80,-0.4872705942023184,-0.6182704810406158,0.3271249551996137,1.3328310443853375,-1.1215670994273803,-0.5929225607854901,-0.6919440569841481,-0.5618558098774069,1,False,False,True,True,False,False,False,False,False,False,False,False,False
81,-0.06283341368093048,0.06926655513283665,0.5517516206323642,-1.2670671888677287,0.8989739411626508,0.34147615944822296,0.0768871858852924,-0.5618558098774069,1,False,False,True,True,False,False,False,False,False,False,False,False,False
82,-0.8067095104476314,-1.0645583865247557,-1.2452617028296413,-0.802901348757926,-1.1459150416738209,0.4682677262056002,-1.283352705345256,-0.5618558098774069,1,True,False,True,True,False,False,False,False,False,False,False,False,False
83,0.5509970124667267,0.4150446491584602,-2.593021695426145,0.06733841036818246,-0.49224042552979913,-0.15301095090554723,-0.467208770606927,-0.1055558673482636,0,False,False,True,False,False,False,False,False,False,False,True,False,False
